text,lable
Crust is not good.,0
Not tasty and the texture was just nasty.,0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,1
The selection on the menu was great and so were the prices.,1
Now I am getting angry and I want my damn pho.,0
"Overall, a great experience.",1
Highly recommended.,1
Waitress was a little slow in service.,0
"This place is not worth your time, let alone Vegas.",0
"This hole in the wall has great Mexican street tacos, and friendly staff.",1
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0
"Overall, I like this place a lot.",1
Service sucks.,0
